case_id,ok,engine_type,alpha,mdot0,mdot_core,mdot_cool,mdot_fuel,pi_d,pi_bd,pi_c,pi_f,pi_t,Tt4,f,fcool,eta_t_eff,Twg_est,Vc_cool,Re_x_cool,area_ratio_cool,F_installed,eta0,fc,fail_reason
case_000005,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000013,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000021,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000029,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000037,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000045,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000053,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000061,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000069,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000077,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000085,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000093,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000101,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000109,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000117,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000125,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000133,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000141,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000149,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000157,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000165,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000173,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000181,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000189,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000197,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000205,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000213,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000221,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000229,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000237,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000245,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000253,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000261,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000269,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000277,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000285,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000293,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000301,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000309,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000317,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000325,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000333,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000341,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000349,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000357,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000365,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000373,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000381,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000389,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000397,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000405,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000413,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000421,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000429,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000437,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000445,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000453,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000461,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000469,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000477,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000485,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000493,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000501,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000509,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000517,0,,,,,,,,,,,,,,,,,,,,,,,'F'
case_000525,0,,,,,,,,,,,,,,,,,,,,,,,'F'
